OS,SP,ARCH,FILE,MINVER,FIXVER,DIR,BULLETIN,KB
,,,fm4av.dll,,4.10.16130.384,,,
,,,exe,,4.50.0.169,,,
6.1,,,Ntdll.dll,6.1.7600.20000,6.1.7600.20745,\system32,,
6.1,,,Ntdll.dll,6.1.7600.16000,6.1.7600.16625,\system32,,
6,2,,Ntdll.dll,6.0.6002.22000,6.0.6002.22435,\system32,,
6,2,,Ntdll.dll,6.0.6002.18000,6.0.6002.18279,\system32,,
6,1,,Ntdll.dll,6.0.6001.22000,6.0.6001.22721,\system32,,
6,1,,Ntdll.dll,6.0.6001.18000,6.0.6001.18499,\system32,,
5.2,2,,Ntdll.dll,6.0.6001.18000,5.2.3790.4737,\system32,,
5.1,3,x86,Ntdll.dll,6.0.6001.18000,5.1.2600.6007,\system32,,
6.1,3,x86,Tapisrv.dll,6.1.7600.20000,6.1.7600.20756,\system32,,
6.1,3,x86,Tapisrv.dll,6.1.7600.16000,6.1.7600.16637,\system32,,
6,2,x86,Tapisrv.dll,6.0.6002.22000,6.0.6002.22390,\system32,,
6,2,x86,Tapisrv.dll,6.0.6002.18000,6.0.6002.18247,\system32,,
6,1,x86,Tapisrv.dll,6.0.6001.22000,6.0.6001.22676,\system32,,
6,1,x86,Tapisrv.dll,6.0.6001.18000,6.0.6001.18463,\system32,,
5.2,2,x86,Tapisrv.dll,6.0.6001.18000,5.2.3790.4699,\system32,,
5.2,2,x86,Aclayers.dll,6.0.6001.18000,5.2.3790.4624,\AppPatch,,
5.1,2,x86,Aclayers.dll,6.0.6001.18000,5.1.2600.3637,\AppPatch,,
5.1,3,x86,Aclayers.dll,6.0.6001.18000,5.1.2600.5906,\AppPatch,,
5,3,x86,Aclayers.dll,6.0.6001.18000,5.0.2195.7358,\AppPatch,,
5.1,1,x86,Termsrv.dll,6.0.6001.18000,5.1.2600.1646,\system32,,
5.2,0,x86,Wmp.dll,9.0.0.0,9.0.0.3263,\system32,,
5.1,1,x86,Wmp.dll,9.0.0.0,9.0.0.3263,\system32,,
5,1,x86,Wmp.dll,9.0.0.0,9.0.0.3263,\system32,,
5.2,0,x86,Wmp.dll,10.0.0.0,10.0.0.3701,\system32,,
5.1,1,x86,Wmp.dll,10.0.0.0,10.0.0.3701,\system32,,
5.2,0,x86,Mshtml.dll,10.0.0.0,6.0.3790.279,\system32,,
5.1,1,x86,Mshtml.dll,10.0.0.0,6.0.2800.1498,\system32,,
5.1,2,x86,Mshtml.dll,10.0.0.0,6.0.2900.2627,\system32,,
5,2,x86,Mshtml.dll,6.0.0.0,6.0.2800.1498,\system32,,
5,3,x86,Mshtml.dll,6.0.0.0,5.0.3539.2400,\system32,,
5,4,x86,Mshtml.dll,6.0.0.0,5.0.3826.2400,\system32,,
5.1,0,x86,Smtpsvc.dll,6.0.0.0,6.0.2600.28,\system32,,
5,0,x86,Smtpsvc.dll,6.0.0.0,5.0.2195.4905,\system32,,
5,0,x86,Jview.exe,6.0.0.0,5.0.3.3805,\system32,,
5.1,0,x86,Mup.sys,6.0.0.0,5.1.2600.19,\system32\drivers,,
5,0,x86,Mup.sys,6.0.0.0,5.0.2195.5080,\system32\drivers,,
4,0,x86,Mup.sys,6.0.0.0,4.0.1381.7125,\system32\drivers,,
5.1,0,x86,W3svc.dll,6.0.0.0,5.1.2600.1125,\system32\inetsrv,,
5,0,x86,W3svc.dll,6.0.0.0,5.0.2195.5995,\system32\inetsrv,,
4,0,x86,W3svc.dll,6.0.0.0,4.2.780.1,\system32\inetsrv,,
5,0,x86,Smss.exe,6.0.0.0,5.0.2195.5695,\system32,,
4,0,x86,Smss.exe,6.0.0.0,4.0.1381.7152,\system32,,
5,0,x86,Exprox.dll,6.0.0.0,6.0.5770.91,path,,
5.1,0,x86,Rasapi32.dll,6.0.0.0,5.1.2600.28,\system32,,
5,0,x86,Rasapi32.dll,6.0.0.0,5.0.2195.4983,\system32,,
4,0,x86,Rasapi32.dll,6.0.0.0,4.0.1381.7140,\system32,,
4,0,x86,odbcbcp.dll,3.0.0.0,3.70.11.40,\system32,,
4,0,x86,odbcbcp.dll,2000.80.0.0,2000.80.746.0,\system32,,
4,0,x86,odbcbcp.dll,2000.81.0.0,2000.81.9001.40,\system32,,
4,0,x86,odbcbcp.dll,2000.81.9030.0,2000.81.9041.40,\system32,,
5,0,x86,Netman.dll,2000.81.9030.0,5.0.2195.5974,\system32,,
5.1,0,x86,Xactsrv.dll,2000.81.9030.0,5.1.2600.50,\system32,,
5,0,x86,Xactsrv.dll,2000.81.9030.0,5.0.2195.5971,\system32,,
4,0,x86,Xactsrv.dll,2000.81.9030.0,4.0.1381.7181,\system32,,
4,0,x86,Xactsrv.dll,4.0.1381.33000,4.0.1381.33538,\system32,,
5.1,0,x86,Xenroll.dll,4.0.1381.33000,5.131.3659.0,\system32,,
5,0,x86,Xenroll.dll,4.0.1381.33000,5.131.3659.0,\system32,,
4,0,x86,Xenroll.dll,4.0.1381.33000,5.131.3659.0,\system32,,
5.1,0,x86,Crypt32.dll,4.0.1381.33000,5.131.2600.1123,\system32,,
